Date,Close
1/2/2015,125.46
1/5/2015,123.26
1/6/2015,124.94
1/7/2015,125.56
1/8/2015,131.55
1/9/2015,129.8
1/12/2015,128.83
1/13/2015,130.28
1/14/2015,131.81
1/15/2015,134.09
1/16/2015,136.01
1/20/2015,137.13
1/21/2015,139.68
1/22/2015,142.86
1/23/2015,140.77
1/26/2015,138.7
1/27/2015,137.78
1/28/2015,133.58
1/29/2015,137.1
1/30/2015,134.96
2/2/2015,135.5
2/3/2015,136.96
2/4/2015,137.65
2/5/2015,137.23
2/6/2015,135.69
2/9/2015,134.88
2/10/2015,138.74
2/11/2015,141.49
2/12/2015,142
2/13/2015,141.05
2/17/2015,141.76
2/18/2015,141.84
2/19/2015,142.65
2/20/2015,144.59
2/23/2015,147.35
2/24/2015,147.28
2/25/2015,146.97
2/26/2015,146.72
2/27/2015,146.45
3/2/2015,146.93
3/3/2015,145.99
3/4/2015,146.55
3/5/2015,146.85
3/6/2015,145.16
3/9/2015,146.75
3/10/2015,144.28
3/11/2015,144.38
3/12/2015,147.46
3/13/2015,150.01
3/16/2015,153.25
3/17/2015,153.3
3/18/2015,157.39
3/19/2015,157.32
3/20/2015,158.38
3/23/2015,157.57
3/24/2015,157.6
3/25/2015,154.42
3/26/2015,152.82
3/27/2015,156.27
3/30/2015,156.85
3/31/2015,154.41
4/1/2015,153.99
4/2/2015,153.95
4/6/2015,155.43
4/7/2015,155.19
4/8/2015,154.64
4/9/2015,153.49
4/10/2015,153.92
4/13/2015,153.51
4/14/2015,154.25
4/15/2015,151.3
4/16/2015,154.93
4/17/2015,152.48
4/20/2015,152.87
4/21/2015,152.88
4/22/2015,152.84
4/23/2015,154.2
4/24/2015,154.28
4/27/2015,151.02
4/28/2015,154.22
4/29/2015,151.07
4/30/2015,150.93
5/1/2015,153.23
5/4/2015,155.84
5/5/2015,154.2
5/6/2015,159.85
5/7/2015,155.8
5/8/2015,158.4
5/11/2015,158.81
5/12/2015,158.47
5/13/2015,158.79
5/14/2015,160
5/15/2015,161.37
5/18/2015,163.25
5/19/2015,164.44
5/20/2015,163.57
5/21/2015,164.62
5/22/2015,164.19
5/26/2015,162.34
5/27/2015,163.38
5/28/2015,164.22
5/29/2015,167.85
6/1/2015,168.07
6/2/2015,164.14
6/3/2015,163.76
6/4/2015,161.45
6/5/2015,162.82
6/8/2015,161.89
6/9/2015,162.59
6/10/2015,164.37
6/11/2015,163.97
6/12/2015,160.71
6/15/2015,164.46
6/16/2015,166.85
6/17/2015,165.16
6/18/2015,165.24
6/19/2015,165.06
6/22/2015,171.04
6/23/2015,170
6/24/2015,167.97
6/25/2015,170.34
6/26/2015,164.68
6/29/2015,163.06
6/30/2015,164.14
7/1/2015,165.22
7/2/2015,163.14
7/6/2015,161.6
7/7/2015,160.33
7/8/2015,159.39
7/9/2015,158.58
7/10/2015,159.73
7/13/2015,156.45
7/14/2015,159.97
7/15/2015,159.6
7/16/2015,157.6
7/17/2015,158.59
7/20/2015,156.59
7/21/2015,155.78
7/22/2015,155.1
7/23/2015,155.21
7/24/2015,150.86
7/27/2015,151.5
7/28/2015,154.2
7/29/2015,155.27
7/30/2015,154.89
7/31/2015,154.27
8/3/2015,152.78
8/4/2015,152.5
8/5/2015,154.95
8/6/2015,152.44
8/7/2015,152.63
8/10/2015,152.33
8/11/2015,152.42
8/12/2015,149.47
8/13/2015,149.69
8/14/2015,149.3
8/17/2015,151.9
8/18/2015,153.3
8/19/2015,151.95
8/20/2015,147.86
8/21/2015,146.62
8/24/2015,140.68
8/25/2015,138.14
8/26/2015,142.16
8/27/2015,142.16
8/28/2015,140.56
8/31/2015,141.05
9/1/2015,138.06
9/2/2015,140.47
9/3/2015,142.95
9/4/2015,142.05
9/8/2015,146.43
9/9/2015,145.6
9/10/2015,143.94
9/11/2015,147.09
9/14/2015,145.87
9/15/2015,148.24
9/16/2015,151.15
9/17/2015,150.27
9/18/2015,146.86
9/21/2015,149.57
9/22/2015,148.66
9/23/2015,149.28
9/24/2015,147.06
9/25/2015,141.91
9/28/2015,136.31
9/29/2015,137.72
9/30/2015,140
10/1/2015,138.94
10/2/2015,141.85
10/5/2015,142.85
10/6/2015,139.46
10/7/2015,139.41
10/8/2015,137.33
10/9/2015,140.49
10/12/2015,143.86
10/13/2015,146.53
10/14/2015,143.35
10/15/2015,145.23
10/16/2015,147.05
10/19/2015,148.81
10/20/2015,148.24
10/21/2015,142.79
10/22/2015,139.41
10/23/2015,140.95
10/26/2015,141.74
10/27/2015,144.69
10/28/2015,141.8
10/29/2015,141.34
10/30/2015,139.15
11/2/2015,139.86
11/3/2015,137.05
11/4/2015,135.34
11/5/2015,136.04
11/6/2015,133.98
11/9/2015,133.77
11/10/2015,135.27
11/11/2015,134.19
11/12/2015,133.43
11/13/2015,132.55
11/16/2015,135.06
11/17/2015,136.25
11/18/2015,137.3
11/19/2015,127.86
11/20/2015,131.29
11/23/2015,131.13
11/24/2015,131.63
11/25/2015,131
11/27/2015,131.22
11/30/2015,130.38
12/1/2015,135.82
12/2/2015,132.92
12/3/2015,129.43
12/4/2015,132.75
12/7/2015,132.78
12/8/2015,131.6
12/9/2015,132.46
12/10/2015,134.84
12/11/2015,135.78
12/14/2015,135.53
12/15/2015,135.02
12/16/2015,137.78
12/17/2015,139.01
12/18/2015,137.75
12/21/2015,139.53
12/22/2015,140.19
12/23/2015,140.51
12/24/2015,140.56
12/28/2015,140.03
12/29/2015,141.85
12/30/2015,140.96
12/31/2015,139.44
1/4/2016,139.21
1/5/2016,141.24
1/6/2016,137.79
1/7/2016,135.43
1/8/2016,132.13
1/11/2016,128.36
1/12/2016,135.6
1/13/2016,134.14
1/14/2016,138.1
1/15/2016,134.99
1/19/2016,136.85
1/20/2016,137.49
1/21/2016,138.78
1/22/2016,141.4
1/25/2016,138.67
1/26/2016,137.76
1/27/2016,131.23
1/28/2016,126.42
1/29/2016,130.49
2/1/2016,129.72
2/2/2016,127.01
2/3/2016,126.83
2/4/2016,126.64
2/5/2016,123.38
2/8/2016,117.22
2/9/2016,119.82
2/10/2016,121.47
2/11/2016,119.98
2/12/2016,121.55
2/16/2016,124.83
2/17/2016,127.56
2/18/2016,128.02
2/19/2016,127.23
2/22/2016,132.17
2/23/2016,131.27
2/24/2016,130.75
2/25/2016,132.23
2/26/2016,132.5
2/29/2016,130.69
3/1/2016,131.8
3/2/2016,134.09
3/3/2016,132.97
3/4/2016,132.35
3/7/2016,133.2
3/8/2016,132.48
3/9/2016,134.54
3/10/2016,137.81
3/11/2016,143.1
3/14/2016,144.17
3/15/2016,142.31
3/16/2016,143.51
3/17/2016,140.35
3/18/2016,142.68
3/21/2016,140
3/22/2016,140.87
3/23/2016,139.5
3/24/2016,139.97
3/28/2016,139.56
3/29/2016,140.28
3/30/2016,139.97
3/31/2016,138.99
4/1/2016,141.85
4/4/2016,147.26
4/5/2016,143.34
4/6/2016,144.87
4/7/2016,143.42
4/8/2016,143.74
4/11/2016,140.9
4/12/2016,142.87
4/13/2016,143.55
4/14/2016,143.21
4/15/2016,142.91
4/18/2016,142.59
4/19/2016,144.4
4/20/2016,145.52
4/21/2016,145.91
4/22/2016,147.52
4/25/2016,146.09
4/26/2016,147.07
4/27/2016,144.76
4/28/2016,144
4/29/2016,140.77
5/2/2016,140.48
5/3/2016,141.42
5/4/2016,138.73
5/5/2016,137.07
5/6/2016,137.25
5/9/2016,138.44
5/10/2016,140.16
5/11/2016,139.57
5/12/2016,136.08
5/13/2016,135.51
5/16/2016,137.23
5/17/2016,136.21
5/18/2016,136.08
5/19/2016,133.79
5/20/2016,135.73
5/23/2016,133.18
5/24/2016,128.48
5/25/2016,130.96
5/26/2016,129.61
5/27/2016,130.7
5/31/2016,132.16
6/1/2016,132.51
6/2/2016,133.29
6/3/2016,131.84
6/6/2016,132.44
6/7/2016,132.91
6/8/2016,134.2
6/9/2016,133.75
6/10/2016,131.52
6/13/2016,130.68
6/14/2016,130.52
6/15/2016,130.61
6/16/2016,132.28
6/17/2016,132.34
6/20/2016,132.72
6/21/2016,131.45
6/22/2016,128.72
6/23/2016,128.67
6/24/2016,126.38
6/27/2016,124.85
6/28/2016,127.05
6/29/2016,131.48
6/30/2016,131.34
7/1/2016,131.67
7/5/2016,130.84
7/6/2016,132.12
7/7/2016,129.44
7/8/2016,132.15
7/11/2016,131.56
7/12/2016,131.88
7/13/2016,133.74
7/14/2016,133.91
7/15/2016,134.31
7/18/2016,135
7/19/2016,132.06
7/20/2016,135.47
7/21/2016,139
7/22/2016,142.94
7/25/2016,139.98
7/26/2016,137.59
7/27/2016,133.86
7/28/2016,132.9
7/29/2016,131.34
8/1/2016,127.61
8/2/2016,125.56
8/3/2016,127.87
