Date,Close
1/2/2015,100.78
1/5/2015,99.12
1/6/2015,98.92
1/7/2015,99.93
1/8/2015,104.7
1/9/2015,103.72
1/12/2015,102.55
1/13/2015,103.07
1/14/2015,103.33
1/15/2015,104.46
1/16/2015,105.77
1/20/2015,105.62
1/21/2015,109.32
1/22/2015,113.85
1/23/2015,112
1/26/2015,111.61
1/27/2015,110.01
1/28/2015,108.46
1/29/2015,109.39
1/30/2015,106.25
2/2/2015,107.29
2/3/2015,107.81
2/4/2015,107.92
2/5/2015,108.82
2/6/2015,107.6
2/9/2015,106.49
2/10/2015,108.97
2/11/2015,109.85
2/12/2015,109.84
2/13/2015,109.44
2/17/2015,109.76
2/18/2015,109.77
2/19/2015,110.03
2/20/2015,112.62
2/23/2015,116.4
2/24/2015,115.43
2/25/2015,114.05
2/26/2015,113.66
2/27/2015,113.63
3/2/2015,114.4
3/3/2015,112.86
3/4/2015,113.82
3/5/2015,114.79
3/6/2015,112.88
3/9/2015,114.9
3/10/2015,112.46
3/11/2015,112.72
3/12/2015,114.88
3/13/2015,115.25
3/16/2015,118.52
3/17/2015,117.6
3/18/2015,119.96
3/19/2015,120.76
3/20/2015,119.14
3/23/2015,119.04
3/24/2015,118.12
3/25/2015,116.54
3/26/2015,116.25
3/27/2015,118.01
3/30/2015,121
3/31/2015,118.29
4/1/2015,117.45
4/2/2015,117.36
4/6/2015,117.7
4/7/2015,117.35
4/8/2015,118.19
4/9/2015,118.55
4/10/2015,119
4/13/2015,119.37
4/14/2015,119.92
4/15/2015,117.32
4/16/2015,121.6
4/17/2015,118.71
4/20/2015,118.58
4/21/2015,119.28
4/22/2015,117.81
4/23/2015,118.26
4/24/2015,118.69
4/27/2015,116.24
4/28/2015,117.59
4/29/2015,113.61
4/30/2015,111.4
5/1/2015,113.2
5/4/2015,114.56
5/5/2015,113.37
5/6/2015,113.49
5/7/2015,114.76
5/8/2015,115.68
5/11/2015,114.77
5/12/2015,114.64
5/13/2015,115.86
5/14/2015,118.53
5/15/2015,119.33
5/18/2015,119.8
5/19/2015,120.55
5/20/2015,121.24
5/21/2015,120.46
5/22/2015,119.59
5/26/2015,118.24
5/27/2015,119.45
5/28/2015,119.62
5/29/2015,120.21
6/1/2015,119.86
6/2/2015,117.75
6/3/2015,118.35
6/4/2015,116.65
6/5/2015,116.53
6/8/2015,116.91
6/9/2015,116.99
6/10/2015,118.55
6/11/2015,119.32
6/12/2015,117.65
6/15/2015,118.98
6/16/2015,121.55
6/17/2015,119.74
6/18/2015,120.89
6/19/2015,120.33
6/22/2015,120.25
6/23/2015,122.74
6/24/2015,119.17
6/25/2015,122.33
6/26/2015,123.25
6/29/2015,121.19
6/30/2015,122
7/1/2015,123.38
7/2/2015,121.81
7/6/2015,122.16
7/7/2015,120.7
7/8/2015,118.78
7/9/2015,119.34
7/10/2015,122.15
7/13/2015,122.45
7/14/2015,125
7/15/2015,125.86
7/16/2015,124.93
7/17/2015,123.85
7/20/2015,122.65
7/21/2015,120.86
